zh_TW,zh-CN,en-En,en調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
篩選,,Filter,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.filterButton,paymentHistory.filterPopup.filterButton,agentProfitSharing.filterPopup.filterButton,agentUser.filterPopup.filterButton,agentTransactionSetting.filterTitle,agentFundingDetails.filterPopup.filterButton,agentUserProfitSharingForm.filterPopup.filterButton"
請選擇日期,,Please select a date.,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.dateButtonHint,paymentHistory.filterPopup.applyTimeHint,agentOverview.dateHint,agentProfitSharing.dateButtonHint,agentUser.filterPopup.selectDateButton,agentFundingDetails.filterPopup.dateButtonHint,agentUserProfitSharingForm.dateHint"
請選擇類型,,Please select a type.,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.typesButtonHint,paymentHistory.filterPopup.directionHint,agentProfitSharing.typesButtonHint,agentReferralCodeUsers.typesButtonHint"
出入金紀錄篩選,,Deposit and Withdrawal Records Filtering,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.popupTitle,paymentHistory.filterPopup.popupTitle"
申請日期,,Application Date,,,,,,,,,,,,,,agentUserPaymentHistory.filterPopup.dateTitle
出入金類型,,Deposit and Withdrawal Type,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.typesTitle,paymentHistory.filterPopup.directionTitle"
出入金方式,,Deposit and Withdrawal Method,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.methodTitle,paymentHistory.filterPopup.categoryTitle"
請選擇出入金方式,,Please select a method to deposit and withdraw funds.,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.methodButtonHint,paymentHistory.filterPopup.categoryHint"
狀態,,Status,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.statusTitle,paymentHistory.filterPopup.statusTitle"
請選擇狀態,,Please select a status.,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.statusButtonHint,paymentHistory.filterPopup.statusHint"
金額,,Amount,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.amountTitle,paymentHistory.filterPopup.amountTitle"
出入金詳情,,Deposit and Withdrawal Details,,,,,,,,,,,,,,"agentUserPaymentHistory.depositWithdrawalDetailsTitle,paymentHistory.paymentDetail,agentPaymentDetail.depositWithdrawalDetailsTitle"
入金總額,,Total Deposit,,,,,,,,,,,,,,"agentUserPaymentHistory.totalDeposit,paymentHistory.paymentTotal,agentPaymentDetail.depositTotal"
出金總額,,Total Withdrawal,,,,,,,,,,,,,,"agentUserPaymentHistory.totalWithdrawal,paymentHistory.withdrawTotal"
最高,,Highest,,,,,,,,,,,,,,"paymentHistory.filterPopup.amountMaxHint,positionDetail.highPrice,futuresChartFullScreen.highPrice,futuresChart.highPrice"
最低,,Lowest,,,,,,,,,,,,,,"paymentHistory.filterPopup.amountMinHint,positionDetail.lowPrice,futuresChartFullScreen.lowPrice,futuresChart.lowPrice"
審核時間,,Review Time,,,,,,,,,,,,,,paymentHistory.filterPopup.applyTimeTitle
方式,,Method,,,,,,,,,,,,,,"paymentHistory.method,agentUserPaymentHistoryList.methodTitle,withdrawCategory.method"
類型,,Type,,,,,,,,,,,,,,"paymentHistory.type,agentUserPaymentHistoryList.typesTitle,futuresTransaction.marketOrderPopup.type,futuresTransaction.limitOrderPopup.type,agentProfitSharing.typesTitle,withdrawCategory.type"
